project_title,project_description,project_summary,keywords,category,creator_code,url,created_date,updated_date,collection_date
"SPAN 201: Registro en el hotel","Role-play SPAN 201 B1 Spanish; Claude plays a hotel clerk using formal usted register with feedback modes.","Interactive Spanish hotel check-in role-play.","spanish; role-play; language learning; b1; conversation","Teaching","JO","","","2026-09-10","2026-09-17"
"Student learning and AI, research brief and quiz","Research brief and quiz on student learning and AI.","Research brief and quiz on student learning and AI.","student learning; ai; research brief; quiz; education","Research","JO","","","2026-09-09","2026-09-17"
"Addendum Q&A","Need all questions received from bidders added to a file with specific formatting.","Compiles bidder questions into a formatted addendum.","procurement; bidders; addendum; q&a; formatting","Administrative Operations","SB","","","2026-09-09","2026-09-17"
"UChicago Benefits Office - Postdoctoral Researchers Benefits Information","AI assistant from the Benefits Office providing general benefits information for Postdoctoral Researchers.","Benefits assistant for postdoctoral researchers.","benefits; postdoc; hr; plan documents; eligibility","Human Resources","EW","","","2026-09-09","2026-09-17"
"gateways-2026","A project associated with Gateways 2026.","A project associated with Gateways 2026.","gateways; 2026; event; program","Other","ST","","","2026-09-09","2026-09-17"
"CNVC Feasibility Archive","CNVC Feasibility Review.","Archive supporting CNVC feasibility review.","cnvc; feasibility; review; archive","Administrative Operations","WC","","","2026-09-08","2026-09-17"
"6 eV focusing","Achieving the tightest focus possible with 6 eV photon beams, compatible with ARPES geometry.","Optimizing 6 eV photon beam focusing for ARPES.","arpes; photon beam; focusing; optics; physics","Research","GB","","","2026-09-03","2026-09-17"
"To&Through Tool Assistant","A project for developing academic research, identifying themes, outlines, and feedback.","Assistant for the To&Through education research tool.","to&through; education; research; outlines; data","Research","SM","","","2026-09-03","2026-09-17"
"PGS","A project for developing academic research, identifying themes, outlines, and feedback.","Academic research assistant project.","pgs; research; outlines; drafts; academic","Research","WX","","","2026-09-02","2026-09-17"
"MnBi2Te4 1SL excitons","Condensed matter research on excitons in single-layer MnBi2Te4.","Condensed matter research on excitons in single-layer MnBi2Te4.","mnbi2te4; excitons; condensed matter; 2d materials; physics","Research","GB","","","2026-09-02","2026-09-17"
"mid-IR CCD","Writing a small scientific article on using a commercial CCD camera to image focused mid-IR beams via multiphoton absorption.","Writing project on imaging mid-IR beams with a CCD.","mid-ir; ccd; imaging; multiphoton; physics","Research","GB","","","2026-08-31","2026-09-17"
"German Learning","A project to support learning German.","A project to support learning German.","german; language learning; study; vocabulary","Teaching","MZ","","","2026-08-31","2026-09-17"
"Workday Extend","A project for developing academic research, identifying themes, outlines, and feedback.","Project supporting Workday Extend development.","workday; extend; development; hr systems; it","IT / Engineering","SS","","","2026-08-27","2026-09-17"
"SPG Model Article","Write and submit academic paper with formal model of gang-state duopolies of violence.","Academic writing on gang-state duopolies of violence.","formal model; political science; violence; academic paper; research","Research","BL","","","2026-08-27","2026-09-17"
"Exploring Fellowships for Graduate Students","Provides fellowship opportunities to graduate students based on profile; knowledge base maintained by UChicagoGRAD.","Recommends fellowships to graduate students.","fellowships; graduate students; uchicagograd; funding; career","Student Support","KD","","","2026-08-26","2026-09-17"
"Schmidt's Intro to RCC","An introductory project related to RCC.","An introductory project related to RCC.","rcc; intro; teaching; course","Teaching","AN","","","2026-08-26","2026-09-17"
"Physics Tutor","Get help learning Physics; start by asking for a practice problem in a specific subject area.","Physics tutoring assistant with practice problems.","physics; tutor; practice problems; circuits; learning","Teaching","MB","","","2026-08-25","2026-09-17"
"Shakespeare Course (EXAMPLE PROJECT FOR CLAUDE CHAT WORKSHOP)","Creating a syllabus, course materials, and assessments for an intro English course on Shakespeare.","Example project building an intro Shakespeare course.","shakespeare; syllabus; english; course materials; assessments","Teaching","TK","","","2026-08-25","2026-09-17"
"UChicago Interview Quote Finder","Formally extracts and organizes verbatim interview quotes by subject.","Extracts and organizes verbatim interview quotes.","interviews; quotes; qualitative; research; extraction","Research","KP","","","2026-08-21","2026-09-17"
"chicago sights 2","A project related to Chicago sights.","A project related to Chicago sights.","chicago; sights; local; general","General Productivity","DD","","","2026-08-20","2026-09-17"
